Timestamp,Open,High,Low,Close,Volume,HL,Pressure,PV,PPrice1,PColor1,PPrice2,PColor2,Direction,Diff
1998-11-01,1.676,1.6806,1.6424,1.6479,221509.0,7469.999999999998,44.48554744525548,11.75683457396834,1.676,3.0,1.676,2.0,2.0,1.676
1998-12-01,1.6483,1.695,1.6459,1.6609,242251.0,3820.000000000001,29.653145917001346,-14.832401528254131,1.6483,3.0,1.6483,4.0,4.0,1.6483
1999-01-01,1.6686,1.672,1.6233,1.645,105428.0,4910.000000000014,63.416492146596845,33.7633462295955,1.6686,3.0,1.6686,2.0,2.0,1.6686
1999-02-01,1.6469,1.6481,1.5952,1.6038,97175.0,4869.999999999996,21.472097759674075,-41.94439438692277,1.6469,0.0,1.6469,2.0,2.0,1.6469
1999-03-01,1.5997,1.648,1.5952,1.6103,107892.0,5289.9999999999945,19.95379876796716,-1.5182989917069136,1.5997,3.0,1.5997,4.0,4.0,1.5997
1999-04-01,1.6114,1.6239,1.5841,1.6095,99129.0,5279.999999999995,20.39546313799624,0.44166437002908054,1.6114,3.0,1.6114,2.0,2.0,1.6114
1999-05-01,1.6097,1.6435,1.5882,1.6028,101599.0,3979.999999999983,18.774431818181835,-1.6210313198144064,1.6097,3.0,1.6097,1.0,1.0,1.6097
1999-06-01,1.6026,1.6181,1.572,1.5778,118936.0,5529.99999999999,25.527386934673476,6.752955116491641,1.6026,3.0,1.6026,4.0,4.0,1.6026
1999-07-01,1.5782,1.6256,1.547,1.6215,104170.0,4610.000000000003,21.5074141048825,-4.0199728297909765,1.5782,0.0,1.5782,4.0,4.0,1.5782
1999-08-01,1.6203,1.6283,1.5832,1.6037,118599.0,7860.0,22.596529284164845,1.089115179282345,1.6203,3.0,1.6203,1.0,1.0,1.6203
1999-09-01,1.6042,1.6515,1.5983,1.6471,128815.0,4510.000000000014,15.088931297709923,-7.507597986454922,1.6042,0.0,1.6042,1.0,1.0,1.6042
1999-10-01,1.6465,1.6795,1.6326,1.6429,121579.0,5319.999999999991,28.562084257206124,13.4731529594962,1.6465,0.0,1.6465,1.0,1.0,1.6465
1999-11-01,1.6441,1.6519,1.5911,1.5976,133190.0,4689.999999999994,22.853195488721845,-5.708888768484279,1.6441,0.0,1.6441,1.0,1.0,1.6441
1999-12-01,1.598,1.6312,1.5952,1.6154,114102.0,6079.999999999996,28.39872068230281,5.545525193580964,1.598,3.0,1.598,4.0,4.0,1.598
